,Temperature (°C),Pressure (kPa),Temperature x Pressure,Material Fusion Metric,Material Transformation Metric,Quality Rating
0,209.76270078546492,8.050855372267016,1688.769166519899,44522.21707426675,9229575.9601601,99.99997051667044
1,243.0378732744839,15.81206837248824,3842.931469320272,63020.76499666782,14355367.161169715,99.9857034148466
2,220.5526752143288,7.843130045242965,1729.8233135322153,49125.950248984256,10728388.692175286,99.99975760980664
3,208.9766365993794,23.78608919382891,4970.736917579209,57128.88154720625,9125701.954087583,99.9999748371414
4,184.7309598677809,15.797812212212808,2918.345013773024,38068.20128250773,6303791.886418867,99.99999985827117
5,229.1788226133312,8.498306097138524,1947.631785549901,53136.69065414998,12037071.663069967,99.99878570587263
6,187.5174422525385,19.41285093833815,3640.2481547869615,42478.6945000483,6593259.799926771,99.9999997342736
7,278.3546001564159,7.070943886395444,1968.2297582260576,77834.81823033674,21567221.67002573,95.73272257668091
8,292.73255210020585,20.4328957994804,5981.373734179474,94223.14706901045,25084521.94683608,64.62359867766705
9,176.68830376515552,14.145782221580872,2499.394266162418,34049.372335085114,5515789.061600543,99.9999999781456
10,258.34500761653294,7.65323911025064,1977.1761162288492,67190.409008697,17242440.859375894,99.81404216565016
11,205.77898395058088,5.74422072617603,1182.039904620371,42534.52695496808,8713676.070034742,99.9999868219302
12,213.6089122187865,24.8675598737981,5311.932414177555,61006.75534864071,9746092.970240794,99.9999368083424
13,285.1193276585322,10.487365801752626,2990.150686304792,82446.48226948982,23178104.35847252,88.30169759189188
14,114.2072116395774,24.044972441434123,2746.1092564866726,26945.145281718243,1489059.2999400536,100.0
15,117.42585994030814,15.036726734741016,1765.7005675143853,17188.68387659703,1618939.4204480425,100.0
16,104.04367948806514,15.06030767850963,1566.9298250945023,14240.958809473148,1126055.0945087776,100.0
17,266.5239691095876,6.821394367442668,1818.0651016726044,71352.43528383941,18932490.57320019,99.31144198408124
18,255.6313501899701,24.0141163767595,6138.760993010103,79195.79464939123,16704264.143523898,99.8807070075718
19,274.0024296493638,19.657917291001738,5386.317099580716,82673.81340702744,20570984.796207134,97.79908528620756
20,295.7236684465528,15.374556763191023,4546.620326750608,91086.67961684435,25861534.212648563,45.7759383574185
21,259.8317128433447,7.40514278147772,1924.0909327608856,67918.58844253358,17541838.613767035,99.76336248007402
22,192.2958724505864,8.51353138976571,1637.1169462304504,37594.765161753465,7110587.09507139,99.9999992349171
23,256.1058352572911,13.643332102835677,3494.1369638893448,68129.775660402,16797846.52138619,99.87100211991432
24,123.65488517378664,12.24517641464434,1514.1758834856064,17126.62558945919,1890598.8646248616,100.0
25,227.9842042655048,16.162760137426655,3684.854008665436,56199.07305316755,11849627.559456373,99.99902523965024
26,128.6706574818093,6.526879495144176,839.8178759447405,16834.184181122793,2130246.574119082,99.99999999999996
27,288.9337834099168,5.806920386366796,1677.815477193134,83678.54243460867,24120947.653404374,79.55659768172349
28,204.36966435001432,15.222061733801084,3110.9276472521246,45294.081340644094,8535667.824982217,99.99999012909144
29,182.93238799810476,5.570027618581445,1018.9384534825002,33637.06984229306,6121665.709177993,99.99999990598296
30,152.91112242092538,6.191039080203522,946.678734705734,23619.10747958111,3575300.6903312146,99.9999999999495
31,254.84673788684333,12.526829163808127,3192.4215484622746,66912.58799406337,16551338.437522674,99.89511926637348
32,191.2300664433097,6.235581394696039,1192.4306444203894,36811.393151659366,6993041.620673019,99.99999939416044
33,213.68678977372969,12.709392532327,2715.82929020717,47714.975250417,9757214.094663138,99.99993579132152
34,103.75796008727104,9.83501031818873,1020.4606080525248,11717.029533499155,1116931.8252999482,100.0
35,223.52709941517543,8.755405942181753,1957.0704944582783,50635.5284926001,11168312.740572432,99.9995745407366
36,222.41914454448428,13.093596629725257,2912.266561394034,51715.07182394291,11002964.99486595,99.99965472249325
37,223.38679937495135,7.398078112625141,1652.6329911052114,50306.5704893188,11147317.856264692,99.99958560220416
38,288.74961570292487,11.992787342385416,3462.9127363206903,85101.22657292955,24074742.47094738,80.0980719873024
39,236.3640598206967,13.697472587332058,3237.5902300245075,58437.89892719399,13204992.29282117,99.99556017167174
40,171.9015801147572,21.60005893920276,3713.08426222084,39627.93174219871,5079251.473065899,99.99999999310984
41,187.4063907598683,23.65612364964445,4433.308752549028,48359.41036851493,6581369.341461496,99.99999974090458
42,239.52623918545297,11.166768689324652,2674.734108007804,58765.27871994778,13742170.931690792,99.99224097956294
43,112.04509432585397,10.852840994808728,1216.0075929668385,13832.395897265793,1406507.8888599805,100.0
44,233.35334308913357,16.330365485424363,3810.745379891176,58808.77826520722,12706705.563262092,99.9974088438688
45,234.12757392363187,7.748288528006477,1814.0879951224651,55280.89692860328,12833811.704512732,99.9970214058481
46,142.07651221476817,11.994243694561147,1704.1003107772233,21911.249791834736,2867775.009316561,99.9999999999977
47,125.78525953097066,6.064327583238147,762.8030189384344,16044.953645136722,1990128.9858609024,100.0
48,163.08567018483677,12.581362875642553,2051.8399964127907,28588.448453117813,4337420.8123168405,99.99999999924444
49,172.74215418852452,7.2830269144622095,1258.085758217205,30226.161650692706,5154547.24393731,99.99999999153358
50,214.03935408357592,16.23625823604592,3475.1982255774083,50092.983871045806,9805488.15710735,99.99993119799066
51,187.7203026924641,17.831874687913235,3347.404913989161,40909.01585786213,6614741.259500871,99.99999972189288
52,297.67476761184525,24.74183073353392,7365.018713896319,103756.18154356792,26376428.560256094,28.54116746574873
53,120.4089621496056,8.9027732451888,1071.9736867064598,15203.946377567434,1745648.1839047747,100.0
54,141.77535121896693,9.144042976049278,1296.399904490714,20864.81585133128,2849636.420052306,99.9999999999979
55,132.26190357699926,23.948390371795305,3167.459698178728,31228.2213386768,2313111.8793599075,99.99999999999989
56,230.62166509307968,22.29281676913637,5141.206522913159,64265.20641526554,12265428.183412278,99.998420243889
57,150.65832050795643,17.321080988744377,2609.564971146521,27894.59759979029,3419331.9233982987,99.99999999997294
58,193.26215457126125,21.82814473500418,4218.554281780241,47750.67072845791,7217915.328774873,99.99999905638026
59,148.88511840032055,9.19384289442977,1368.826387891122,22943.904114912253,3300218.911961729,99.99999999998352
